timestamp_unix_s,timestamp_perf_s,sensor1_x,sensor2_x,sensor3_x,sensor4_x,sensor5_x,sensor6_x,sensor7_x,sensor8_x,sensor1_y,sensor2_y,sensor3_y,sensor4_y,sensor5_y,sensor6_y,sensor7_y,sensor8_y,sensor1_z,sensor2_z,sensor3_z,sensor4_z,sensor5_z,sensor6_z,sensor7_z,sensor8_z,sensor1_mag,sensor2_mag,sensor3_mag,sensor4_mag,sensor5_mag,sensor6_mag,sensor7_mag,sensor8_mag
1781981654.3437626,47647.925555425,0.0,-14.39990234375,0.0,278.39990234375,36.0,122.39990234375,-38.39996337890625,26.39990234375,0.0,-7.199951171875,0.0,-4.800048828125,-31.199996948242188,-45.60009765625,-4.79998779296875,-12.0,0.0,30.975830078125,0.0,363.96826171875,19.3599853515625,123.904052734375,11.615966796875,11.615234375,0.0,34.90986251831055,0.0,458.2602233886719,51.42226028442383,180.03700256347656,40.4045524597168,31.238895416259766
1781981654.3655448,47647.947337054,0.0,-14.39990234375,0.0,276.0,38.39990234375,117.60009765625,-38.39996337890625,24.0,0.0,-7.199951171875,0.0,-7.199951171875,-36.0,-45.60009765625,-9.5999755859375,-7.199951171875,0.0,27.10400390625,0.0,367.84033203125,23.23199462890625,123.904052734375,3.8720703125,19.359375,0.0,31.524965286254883,0.0,459.9286193847656,57.53501510620117,176.808837890625,39.770713806152344,31.664249420166016
1781981654.3950107,47647.976803684,0.0,-12.0,0.0,276.0,36.0,120.0,-38.39996337890625,26.39990234375,0.0,-4.800048828125,0.0,-4.800048828125,-33.600006103515625,-40.80029296875,-7.199951171875,-9.60009765625,0.0,27.10400390625,0.0,375.583984375,23.23199462890625,123.904052734375,7.743896484375,15.4873046875,0.0,30.02777862548828,0.0,466.1141357421875,54.44892883300781,177.24807739257812,39.82918930053711,32.077613830566406
1781981654.4216096,47648.003402502,0.0,-14.39990234375,0.0,276.0,40.7999267578125,120.0,-40.79998779296875,21.60009765625,0.0,-9.60009765625,0.0,0.0,-36.0,-43.2001953125,-9.5999755859375,-9.60009765625,0.0,27.10400390625,0.0,371.7119140625,27.10400390625,123.904052734375,3.8720703125,11.615234375,0.0,32.15814208984375,0.0,462.9748840332031,60.788658142089844,177.81582641601562,42.092655181884766,26.3370418548584
1781981654.445791,47648.027583577,0.0,-14.39990234375,0.0,276.0,33.5999755859375,120.0,-38.39996337890625,26.39990234375,0.0,-7.199951171875,0.0,-4.800048828125,-28.800003051757812,-43.2001953125,-9.5999755859375,-12.0,0.0,27.10400390625,0.0,375.583984375,19.3599853515625,123.904052734375,7.743896484375,11.615234375,0.0,31.524965286254883,0.0,466.1141357421875,48.303287506103516,177.81582641601562,40.332176208496094,31.238895416259766
1781981654.473636,47648.055428529,0.0,-12.0,0.0,278.39990234375,33.5999755859375,122.39990234375,-31.199951171875,28.80029296875,0.0,-9.60009765625,0.0,-7.199951171875,-28.800003051757812,-43.2001953125,-9.5999755859375,-12.0,0.0,30.975830078125,0.0,375.583984375,19.3599853515625,120.031982421875,7.743896484375,11.615234375,0.0,34.578372955322266,0.0,467.5699768066406,48.303287506103516,176.792724609375,33.54943084716797,33.292198181152344
1781981654.5050914,47648.086884208,0.0,-14.39990234375,0.0,278.39990234375,40.7999267578125,120.0,-31.199951171875,28.80029296875,0.0,-9.60009765625,0.0,2.400146484375,-28.800003051757812,-40.80029296875,-12.0,-9.60009765625,0.0,27.10400390625,0.0,379.4560546875,23.23199462890625,135.52001953125,0.0,19.359375,0.0,32.15814208984375,0.0,470.636962890625,55.07994079589844,185.55413818359375,33.42808532714844,36.005611419677734
1781981654.530195,47648.111988673,0.0,-14.39990234375,0.0,280.7998046875,36.0,122.39990234375,-26.39996337890625,26.39990234375,0.0,-9.60009765625,0.0,2.400146484375,-28.800003051757812,-43.2001953125,-12.0,-7.199951171875,0.0,30.975830078125,0.0,367.84033203125,23.23199462890625,123.904052734375,-3.8720703125,19.359375,0.0,35.482688903808594,0.0,462.7751159667969,51.625244140625,179.4441680908203,29.25663948059082,33.519840240478516
1781981654.5553322,47648.137123799,0.0,-9.599609375,0.0,288.0,36.0,124.800048828125,-31.199951171875,26.39990234375,0.0,-7.199951171875,0.0,2.400146484375,-28.800003051757812,-40.80029296875,-9.5999755859375,-9.60009765625,0.0,34.847900390625,0.0,371.7119140625,27.10400390625,123.904052734375,7.743896484375,15.4873046875,0.0,36.85604476928711,0.0,470.23345947265625,53.47959518432617,180.5323486328125,33.54943084716797,32.077613830566406
1781981654.5794873,47648.16127966,0.0,-14.39990234375,0.0,283.19970703125,36.0,127.199951171875,-28.79998779296875,26.39990234375,0.0,-12.0,0.0,0.0,-21.600006103515625,-40.80029296875,-12.0,-2.39990234375,0.0,34.847900390625,0.0,371.7119140625,19.3599853515625,123.904052734375,3.8720703125,11.615234375,0.0,39.5693473815918,0.0,467.3027038574219,46.231693267822266,182.1996307373047,31.439340591430664,28.941804885864258
