Time(s):,Sensor1x:,Sensor1y:,Sensor1z:,Sensor2x:,Sensor2y:,Sensor2z:,Sensor3x:,Sensor3y:,Sensor3z:,Sensor4x:,Sensor4y:,Sensor4z:
15.33,0,2,10,0,0,0,0,2,0,2,-2,0
15.38,2,2,-4,-3,-3,3,0,-5,0,2,0,0
15.41,4,4,-4,0,0,-8,-3,-2,4,2,-5,-8
15.44,4,7,6,-3,2,3,2,2,4,4,3,-4
15.48,0,4,0,0,2,0,0,5,4,2,0,-8
15.50,-3,4,-4,0,-3,3,2,0,8,4,0,-4
15.53,2,2,-4,0,0,6,-3,2,0,2,0,4
15.58,6,2,0,0,-3,3,-3,-2,0,7,0,-4
15.61,2,2,-8,-3,0,0,-3,-5,0,0,3,-8
15.65,2,9,0,-5,-3,6,-5,2,4,2,0,0
15.69,-5,4,-8,0,-3,3,-3,2,0,2,3,-8
15.73,-3,7,0,2,0,3,-3,-2,0,0,5,-4
